,Phrase,Count,PMI
6626,"('experience', 'and')",100,1.5385251267181381
3889,"('to', 'improve')",100,3.2141184165073113
3342,"('a', 'lack')",100,3.6098402743608737
2935,"('to', 'succeed')",100,3.90556935142115
7662,"('and', 'help')",100,0.5665395028877356
5575,"('physical', 'and')",100,2.225765347104371
6419,"('take', 'a')",100,1.710834935099225
3029,"('some', 'students')",100,3.846028604237901
2201,"('of', 'kindness')",100,4.53421580398911
2483,"('creating', 'a')",99,4.271599039406464
4464,"('the', 'key')",99,2.884163281948446
940,"('allowing', 'them')",99,6.295024202243198
8353,"('the', 'students')",99,-0.8811762109857391
5054,"('to', 'come')",99,2.5284997023413247
5977,"('a', 'way')",99,1.9923442811143381
2939,"('and', 'dedication')",99,3.9025371802767523
2675,"('can', 'offer')",99,4.1083485311433705
658,"('depending', 'on')",99,7.0146736173174915
7814,"('the', 'one')",99,0.3602165559089201
4170,"('potential', 'for')",99,3.0518067659122288
4816,"('to', 'face')",99,2.667397808163013
2381,"('contribute', 'to')",99,4.36400566471308
2375,"('is', 'possible')",99,4.375763932462814
7945,"('students', 'in')",98,0.1455533133304563
1929,"('if', 'they')",98,4.838517901025728
2442,"('result', 'in')",98,4.311253728911044
7210,"('having', 'to')",98,1.0575927643715666
6757,"('if', 'the')",98,1.4401675306797657
1329,"('they', 'need')",98,5.574935878923874
2901,"('can', 'give')",98,3.931835338786861
1794,"('lot', 'of')",98,4.988748623213571
8035,"('school', 'and')",98,-0.03027130363118502
2873,"('people', 's')",98,3.957947572458991
3655,"('a', 'greater')",97,3.3829248551704616
5314,"('and', 'social')",97,2.3725912547519314
3156,"('could', 'have')",97,3.7512624262257646
2974,"('courage', 'to')",97,3.8796599266638125
3072,"('to', 'maintain')",97,3.8175034506012437
5512,"('become', 'a')",97,2.260394379799024
2762,"('to', 'recognize')",96,4.048309523537231
4285,"('people', 'are')",96,2.9775748400385105
2892,"('to', 'continue')",96,3.939187801157118
1310,"('participating', 'in')",96,5.6005169970220585
8237,"('to', 'an')",96,-0.5241470981921559
4274,"('failure', 'can')",96,2.9861522601812815
6146,"('ultimately', 'the')",96,1.8961756840190311
3014,"('to', 'participate')",96,3.855664445594833
3334,"('to', 'remain')",96,3.615350116261123
2282,"('feelings', 'of')",95,4.460215222545333
1636,"('activities', 'such')",95,5.162714375011358
6272,"('people', 'can')",95,1.8059373826465368
4180,"('a', 'job')",95,3.0478227482811455
414,"('career', 'path')",95,7.930012250028248
5702,"('success', 'is')",95,2.16090152600664
5397,"('relationships', 'and')",95,2.318736449713562
3449,"('to', 'know')",95,3.518629458317264
7007,"('is', 'more')",94,1.2275050987943175
6538,"('of', 'your')",94,1.6091468563073796
2139,"('tend', 'to')",94,4.5926300397610405
4375,"('for', 'many')",94,2.9310635687098703
708,"('decision', 'making')",94,6.862315226582908
6566,"(',', 'or')",94,1.5900255073691056
1016,"('not', 'always')",94,6.115965889887427
